YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER_AIRLINE_ID,TAIL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2025,6,29,7,20409,N563JB,12478,13296,2159,10,10,0,0,0,,0,,,,,
2025,6,29,7,20409,N970JB,12478,14843,2200,13,13,0,0,0,,0,,,,,
2025,6,29,7,20409,N982JB,12478,14771,2210,70,70,1,4,0,,0,5,0,0,0,41
2025,6,29,7,20409,N3125J,12478,14321,2215,112,112,1,7,0,,0,6,0,0,0,86
2025,6,29,7,20409,N804JB,12478,10792,2215,87,87,1,5,0,,0,62,0,0,0,0
2025,6,29,7,20409,N534JB,12478,15096,2230,125,125,1,8,0,,0,4,0,0,0,95
2025,6,29,7,20409,N587JB,12478,14307,2230,31,31,1,2,0,,0,1,0,0,0,15
2025,6,29,7,20409,N623JB,12478,10529,2230,5,5,0,0,0,,0,,,,,
2025,6,29,7,20409,N597JB,12478,10732,2255,24,24,1,1,0,,0,17,0,0,0,0
2025,6,29,7,20409,N3115J,12478,10721,2259,-3,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N510JB,12478,10732,501,20,20,1,1,0,,0,,,,,
2025,6,30,1,20409,N665JB,12478,14843,528,19,19,1,1,0,,0,,,,,
2025,6,30,1,19790,N709TW,12478,10397,600,-2,0,0,-1,0,,0,,,,,
2025,6,30,1,19805,N104NN,12478,12892,600,-5,0,0,-1,0,,0,,,,,
2025,6,30,1,19805,N718AN,12478,13303,600,29,29,1,1,0,,0,24,0,0,0,0
2025,6,30,1,20409,N2180J,12478,12892,600,-4,0,0,-1,0,,0,,,,,
2025,6,30,1,20436,N385FR,12478,14843,600,196,196,1,12,0,,0,0,0,212,0,0
2025,6,30,1,19805,N110AN,12478,14771,607,-8,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N981JT,12478,14771,610,-2,0,0,-1,0,,0,,,,,
2025,6,30,1,20436,N339FR,12478,10397,625,0,0,0,0,0,,0,0,0,32,0,0
2025,6,30,1,20452,N230JQ,12478,10721,629,2,2,0,0,0,,0,,,,,
2025,6,30,1,19805,N951NN,12478,11057,630,-1,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N3251J,12478,10721,630,62,62,1,4,0,,0,60,0,0,0,0
2025,6,30,1,20409,N521JB,12478,13204,630,5,5,0,0,0,,0,,,,,
2025,6,30,1,20409,N923JB,12478,12889,630,0,0,0,0,0,,0,0,0,28,0,0
2025,6,30,1,20452,N437YX,12478,11278,630,-5,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N709JB,12478,10397,640,-3,0,0,-1,0,,0,,,,,
2025,6,30,1,20409,N634JB,12478,14492,650,0,0,0,0,0,,0,0,0,23,0,0
2025,6,30,1,20409,N905JB,12478,11697,654,-2,0,0,-1,0,,0,,,,,
